steam_cost,electricity_cost,LCOW,SEC
8.16E-04,3.98E-01,2.34E+00,3.38E+00
8.16E-04,4.08E-01,2.36E+00,3.38E+00
8.16E-04,4.18E-01,2.38E+00,3.38E+00
8.16E-04,4.29E-01,2.40E+00,3.38E+00
8.16E-04,4.39E-01,2.43E+00,3.38E+00
8.16E-04,4.49E-01,2.45E+00,3.38E+00
8.16E-04,4.59E-01,2.47E+00,3.38E+00
8.16E-04,4.69E-01,2.49E+00,3.38E+00
8.16E-04,4.80E-01,2.51E+00,3.38E+00
8.16E-04,4.90E-01,2.54E+00,3.38E+00
8.16E-04,5.00E-01,2.56E+00,3.38E+00
9.80E-04,0.00E+00,1.52E+00,3.38E+00
9.80E-04,1.02E-02,1.54E+00,3.38E+00
9.80E-04,2.04E-02,1.56E+00,3.38E+00
9.80E-04,3.06E-02,1.59E+00,3.38E+00
9.80E-04,4.08E-02,1.61E+00,3.38E+00
9.80E-04,5.10E-02,1.63E+00,3.38E+00
9.80E-04,6.12E-02,1.65E+00,3.38E+00
9.80E-04,7.14E-02,1.67E+00,3.38E+00
9.80E-04,8.16E-02,1.70E+00,3.38E+00
9.80E-04,9.18E-02,1.72E+00,3.38E+00
9.80E-04,1.02E-01,1.74E+00,3.38E+00
9.80E-04,1.12E-01,1.76E+00,3.38E+00
9.80E-04,1.22E-01,1.78E+00,3.38E+00
9.80E-04,1.33E-01,1.81E+00,3.38E+00
9.80E-04,1.43E-01,1.83E+00,3.38E+00
9.80E-04,1.53E-01,1.85E+00,3.38E+00
9.80E-04,1.63E-01,1.87E+00,3.38E+00
9.80E-04,1.73E-01,1.89E+00,3.38E+00
9.80E-04,1.84E-01,1.92E+00,3.38E+00
9.80E-04,1.94E-01,1.94E+00,3.38E+00
9.80E-04,2.04E-01,1.96E+00,3.38E+00
9.80E-04,2.14E-01,1.98E+00,3.38E+00
9.80E-04,2.24E-01,2.01E+00,3.38E+00
9.80E-04,2.35E-01,2.03E+00,3.38E+00
9.80E-04,2.45E-01,2.05E+00,3.38E+00
9.80E-04,2.55E-01,2.07E+00,3.38E+00
9.80E-04,2.65E-01,2.09E+00,3.38E+00
9.80E-04,2.76E-01,2.12E+00,3.38E+00
9.80E-04,2.86E-01,2.14E+00,3.38E+00
9.80E-04,2.96E-01,2.16E+00,3.38E+00
9.80E-04,3.06E-01,2.18E+00,3.38E+00
9.80E-04,3.16E-01,2.20E+00,3.38E+00
9.80E-04,3.27E-01,2.23E+00,3.38E+00
9.80E-04,3.37E-01,2.25E+00,3.38E+00
9.80E-04,3.47E-01,2.27E+00,3.38E+00
9.80E-04,3.57E-01,2.29E+00,3.38E+00
9.80E-04,3.67E-01,2.31E+00,3.38E+00
9.80E-04,3.78E-01,2.34E+00,3.38E+00
9.80E-04,3.88E-01,2.36E+00,3.38E+00
9.80E-04,3.98E-01,2.38E+00,3.38E+00
9.80E-04,4.08E-01,2.40E+00,3.38E+00
9.80E-04,4.18E-01,2.42E+00,3.38E+00
9.80E-04,4.29E-01,2.45E+00,3.38E+00
9.80E-04,4.39E-01,2.47E+00,3.38E+00
9.80E-04,4.49E-01,2.49E+00,3.38E+00
9.80E-04,4.59E-01,2.51E+00,3.38E+00
9.80E-04,4.69E-01,2.54E+00,3.38E+00
9.80E-04,4.80E-01,2.56E+00,3.38E+00
9.80E-04,4.90E-01,2.58E+00,3.38E+00
9.80E-04,5.00E-01,2.60E+00,3.38E+00
1.14E-03,0.00E+00,1.56E+00,3.38E+00
1.14E-03,1.02E-02,1.58E+00,3.38E+00
1.14E-03,2.04E-02,1.61E+00,3.38E+00
1.14E-03,3.06E-02,1.63E+00,3.38E+00
1.14E-03,4.08E-02,1.65E+00,3.38E+00
1.14E-03,5.10E-02,1.67E+00,3.38E+00
1.14E-03,6.12E-02,1.70E+00,3.38E+00
1.14E-03,7.14E-02,1.72E+00,3.38E+00
1.14E-03,8.16E-02,1.74E+00,3.38E+00
1.14E-03,9.18E-02,1.76E+00,3.38E+00
1.14E-03,1.02E-01,1.78E+00,3.38E+00
1.14E-03,1.12E-01,1.81E+00,3.38E+00
1.14E-03,1.22E-01,1.83E+00,3.38E+00
1.14E-03,1.33E-01,1.85E+00,3.38E+00
1.14E-03,1.43E-01,1.87E+00,3.38E+00
1.14E-03,1.53E-01,1.89E+00,3.38E+00
1.14E-03,1.63E-01,1.92E+00,3.38E+00
1.14E-03,1.73E-01,1.94E+00,3.38E+00
1.14E-03,1.84E-01,1.96E+00,3.38E+00
1.14E-03,1.94E-01,1.98E+00,3.38E+00
1.14E-03,2.04E-01,2.00E+00,3.38E+00
1.14E-03,2.14E-01,2.03E+00,3.38E+00
1.14E-03,2.24E-01,2.05E+00,3.38E+00
1.14E-03,2.35E-01,2.07E+00,3.38E+00
1.14E-03,2.45E-01,2.09E+00,3.38E+00
1.14E-03,2.55E-01,2.11E+00,3.38E+00
1.14E-03,2.65E-01,2.14E+00,3.38E+00
1.14E-03,2.76E-01,2.16E+00,3.38E+00
1.14E-03,2.86E-01,2.18E+00,3.38E+00
1.14E-03,2.96E-01,2.20E+00,3.38E+00
1.14E-03,3.06E-01,2.23E+00,3.38E+00
1.14E-03,3.16E-01,2.25E+00,3.38E+00
1.14E-03,3.27E-01,2.27E+00,3.38E+00
1.14E-03,3.37E-01,2.29E+00,3.38E+00
1.14E-03,3.47E-01,2.31E+00,3.38E+00
1.14E-03,3.57E-01,2.34E+00,3.38E+00
1.14E-03,3.67E-01,2.36E+00,3.38E+00
1.14E-03,3.78E-01,2.38E+00,3.38E+00
1.14E-03,3.88E-01,2.40E+00,3.38E+00
1.14E-03,3.98E-01,2.42E+00,3.38E+00
1.14E-03,4.08E-01,2.45E+00,3.38E+00
1.14E-03,4.18E-01,2.47E+00,3.38E+00
1.14E-03,4.29E-01,2.49E+00,3.38E+00
1.14E-03,4.39E-01,2.51E+00,3.38E+00
1.14E-03,4.49E-01,2.53E+00,3.38E+00
1.14E-03,4.59E-01,2.56E+00,3.38E+00
1.14E-03,4.69E-01,2.58E+00,3.38E+00
1.14E-03,4.80E-01,2.60E+00,3.38E+00
1.14E-03,4.90E-01,2.62E+00,3.38E+00
1.14E-03,5.00E-01,2.64E+00,3.38E+00
1.31E-03,0.00E+00,1.61E+00,3.38E+00
1.31E-03,1.02E-02,1.63E+00,3.38E+00
1.31E-03,2.04E-02,1.65E+00,3.38E+00
1.31E-03,3.06E-02,1.67E+00,3.38E+00
1.31E-03,4.08E-02,1.69E+00,3.38E+00
1.31E-03,5.10E-02,1.72E+00,3.38E+00
1.31E-03,6.12E-02,1.74E+00,3.38E+00
1.31E-03,7.14E-02,1.76E+00,3.38E+00
1.31E-03,8.16E-02,1.78E+00,3.38E+00
1.31E-03,9.18E-02,1.80E+00,3.38E+00
1.31E-03,1.02E-01,1.83E+00,3.38E+00
1.31E-03,1.12E-01,1.85E+00,3.38E+00
1.31E-03,1.22E-01,1.87E+00,3.38E+00
1.31E-03,1.33E-01,1.89E+00,3.38E+00
1.31E-03,1.43E-01,1.92E+00,3.38E+00
1.31E-03,1.53E-01,1.94E+00,3.38E+00
1.31E-03,1.63E-01,1.96E+00,3.38E+00
1.31E-03,1.73E-01,1.98E+00,3.38E+00
1.31E-03,1.84E-01,2.00E+00,3.38E+00
1.31E-03,1.94E-01,2.03E+00,3.38E+00
1.31E-03,2.04E-01,2.05E+00,3.38E+00
1.31E-03,2.14E-01,2.07E+00,3.38E+00
1.31E-03,2.24E-01,2.09E+00,3.38E+00
1.31E-03,2.35E-01,2.11E+00,3.38E+00
1.31E-03,2.45E-01,2.14E+00,3.38E+00
1.31E-03,2.55E-01,2.16E+00,3.38E+00
1.31E-03,2.65E-01,2.18E+00,3.38E+00
1.31E-03,2.76E-01,2.20E+00,3.38E+00
1.31E-03,2.86E-01,2.22E+00,3.38E+00
1.31E-03,2.96E-01,2.25E+00,3.38E+00
1.31E-03,3.06E-01,2.27E+00,3.38E+00
1.31E-03,3.16E-01,2.29E+00,3.38E+00
1.31E-03,3.27E-01,2.31E+00,3.38E+00
1.31E-03,3.37E-01,2.33E+00,3.38E+00
1.31E-03,3.47E-01,2.36E+00,3.38E+00
1.31E-03,3.57E-01,2.38E+00,3.38E+00
1.31E-03,3.67E-01,2.40E+00,3.38E+00
1.31E-03,3.78E-01,2.42E+00,3.38E+00
1.31E-03,3.88E-01,2.45E+00,3.38E+00
1.31E-03,3.98E-01,2.47E+00,3.38E+00
1.31E-03,4.08E-01,2.49E+00,3.38E+00
1.31E-03,4.18E-01,2.51E+00,3.38E+00
1.31E-03,4.29E-01,2.53E+00,3.38E+00
1.31E-03,4.39E-01,2.56E+00,3.38E+00
1.31E-03,4.49E-01,2.58E+00,3.38E+00
1.31E-03,4.59E-01,2.60E+00,3.38E+00
1.31E-03,4.69E-01,2.62E+00,3.38E+00
1.31E-03,4.80E-01,2.64E+00,3.38E+00
1.31E-03,4.90E-01,2.67E+00,3.38E+00
1.31E-03,5.00E-01,2.69E+00,3.38E+00
1.47E-03,0.00E+00,1.65E+00,3.38E+00
1.47E-03,1.02E-02,1.67E+00,3.38E+00
1.47E-03,2.04E-02,1.69E+00,3.38E+00
1.47E-03,3.06E-02,1.72E+00,3.38E+00
1.47E-03,4.08E-02,1.74E+00,3.38E+00
1.47E-03,5.10E-02,1.76E+00,3.38E+00
1.47E-03,6.12E-02,1.78E+00,3.38E+00
1.47E-03,7.14E-02,1.80E+00,3.38E+00
1.47E-03,8.16E-02,1.83E+00,3.38E+00
1.47E-03,9.18E-02,1.85E+00,3.38E+00
1.47E-03,1.02E-01,1.87E+00,3.38E+00
1.47E-03,1.12E-01,1.89E+00,3.38E+00
1.47E-03,1.22E-01,1.91E+00,3.38E+00
1.47E-03,1.33E-01,1.94E+00,3.38E+00
1.47E-03,1.43E-01,1.96E+00,3.38E+00
1.47E-03,1.53E-01,1.98E+00,3.38E+00
1.47E-03,1.63E-01,2.00E+00,3.38E+00
1.47E-03,1.73E-01,2.02E+00,3.38E+00
1.47E-03,1.84E-01,2.05E+00,3.38E+00
1.47E-03,1.94E-01,2.07E+00,3.38E+00
1.47E-03,2.04E-01,2.09E+00,3.38E+00
1.47E-03,2.14E-01,2.11E+00,3.38E+00
1.47E-03,2.24E-01,2.14E+00,3.38E+00
1.47E-03,2.35E-01,2.16E+00,3.38E+00
1.47E-03,2.45E-01,2.18E+00,3.38E+00
1.47E-03,2.55E-01,2.20E+00,3.38E+00
1.47E-03,2.65E-01,2.22E+00,3.38E+00
1.47E-03,2.76E-01,2.25E+00,3.38E+00
1.47E-03,2.86E-01,2.27E+00,3.38E+00
1.47E-03,2.96E-01,2.29E+00,3.38E+00
1.47E-03,3.06E-01,2.31E+00,3.38E+00
1.47E-03,3.16E-01,2.33E+00,3.38E+00
1.47E-03,3.27E-01,2.36E+00,3.38E+00
1.47E-03,3.37E-01,2.38E+00,3.38E+00
1.47E-03,3.47E-01,2.40E+00,3.38E+00
1.47E-03,3.57E-01,2.42E+00,3.38E+00
1.47E-03,3.67E-01,2.44E+00,3.38E+00
1.47E-03,3.78E-01,2.47E+00,3.38E+00
1.47E-03,3.88E-01,2.49E+00,3.38E+00
1.47E-03,3.98E-01,2.51E+00,3.38E+00
1.47E-03,4.08E-01,2.53E+00,3.38E+00
1.47E-03,4.18E-01,2.55E+00,3.38E+00
1.47E-03,4.29E-01,2.58E+00,3.38E+00
1.47E-03,4.39E-01,2.60E+00,3.38E+00
1.47E-03,4.49E-01,2.62E+00,3.38E+00
1.47E-03,4.59E-01,2.64E+00,3.38E+00
